AssetID,PriceDate,Price,DailyReturn
1,2020-01-02,75.09,0.0
1,2020-01-03,74.36,-0.009721667332534323
1,2020-01-06,74.95,0.007934373318988719
1,2020-01-07,74.6,-0.004669779853235578
1,2020-01-08,75.8,0.01608579088471851
1,2020-01-09,77.41,0.02124010554089706
1,2020-01-10,77.58,0.002196098695258941
1,2020-01-13,79.24,0.02139726733694247
1,2020-01-14,78.17,-0.013503281171125647
1,2020-01-15,77.83,-0.004349494691057942
1,2020-01-16,78.81,0.01259154567647447
1,2020-01-17,79.68,0.011039208222306973
1,2020-01-21,79.14,-0.006777108433735024
1,2020-01-22,79.43,0.0036643922163255294
1,2020-01-23,79.81,0.004784086617147132
1,2020-01-24,79.58,-0.0028818443804035088
1,2020-01-27,77.24,-0.029404372958029668
1,2020-01-28,79.42,0.028223718280683707
1,2020-01-29,81.08,0.020901536136993082
1,2020-01-30,80.97,-0.0013566847557967554
1,2020-01-31,77.38,-0.04433740891688287
1,2020-02-03,77.17,-0.002713879555440557
1,2020-02-04,79.71,0.032914344952701624
1,2020-02-05,80.36,0.008154560281018686
1,2020-02-06,81.3,0.011697361871577883
1,2020-02-07,80.01,-0.015867158671586612
1,2020-02-10,80.39,0.004749406324209504
1,2020-02-11,79.9,-0.006095285483268986
1,2020-02-12,81.8,0.023779724655819567
1,2020-02-13,81.22,-0.007090464547677255
1,2020-02-14,81.24,0.0002462447672986201
1,2020-02-18,79.75,-0.018340718857705496
1,2020-02-19,80.9,0.014420062695924774
1,2020-02-20,80.07,-0.010259579728059465
1,2020-02-21,78.26,-0.022605220432121764
1,2020-02-24,74.54,-0.04753386148734984
1,2020-02-25,72.02,-0.03380735175744576
1,2020-02-26,73.16,0.015828936406553806
1,2020-02-27,68.38,-0.06533624931656645
1,2020-02-28,68.34,-0.0005849663644339476
1,2020-03-02,74.7,0.09306409130816506
1,2020-03-03,72.33,-0.031726907630522105
1,2020-03-04,75.68,0.046315498410065103
1,2020-03-05,73.23,-0.03237315010570829
1,2020-03-06,72.26,-0.013245937457326162
1,2020-03-09,66.54,-0.07915859396623304
1,2020-03-10,71.33,0.07198677487225713
1,2020-03-11,68.86,-0.034627786345156286
1,2020-03-12,62.06,-0.09875108916642461
1,2020-03-13,69.49,0.11972284885594564
1,2020-03-16,60.55,-0.12865160454741686
1,2020-03-17,63.22,0.04409578860445906
1,2020-03-18,61.67,-0.024517557734893947
1,2020-03-19,61.19,-0.007783363061456217
1,2020-03-20,57.31,-0.06340905376695527
1,2020-03-23,56.09,-0.021287733379863893
1,2020-03-24,61.72,0.10037439828846484
1,2020-03-25,61.38,-0.00550874918988975
